Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Slew Rate Control
1,PC20,,Available,In,,,,,,,
2,PC21,,Available,In,,,,,,,
3,PC22,,Available,In,,,,,,,
4,PD0,,Available,In,,,,,,,
5,PA8,RF215_LED_TX,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
6,PA9,RF215_LED_RX,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
7,PD3,LED1,GPIO,Out,High,No,Disabled,No,No,Glitch Filter,0x0
8,PD4,,Available,In,,,,,,,
9,PD5,,Available,In,,,,,,,
10,PD6,,Available,In,,,,,,,
11,PD7,,Available,In,,,,,,,
12,PD8,,Available,In,,,,,,,
13,PD9,,Available,In,,,,,,,
14,PD10,,Available,In,,,,,,,
15,PD11,,Available,In,,,,,,,
16,PA0,PL460_STBY,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
17,PA1,PL460_TXEN,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
18,PD14,,Available,In,,,,,,,
19,PD15,PL460_NRST,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
20,PD16,LED0,GPIO,Out,High,No,Disabled,No,No,Glitch Filter,0x0
22,PD17,,Available,In,,,,,,,
23,PD18,LED_MIKROBUS2_PWM,LED_AL,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
24,PD19,PL460_ENABLE,GPIO,Out,High,No,Disabled,No,No,Glitch Filter,0x0
25,PA10,,Available,In,,,,,,,
26,PA11,,Available,In,,,,,,,
27,PA2,PL460_EXTINT,GPIO,In,n/a,No,Low Level,No,Yes,Disabled,0x0
28,PA3,,Available,In,,,,,,,
29,PA4,VIRTUAL_COM_TX,FLEXCOM0_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
30,PA5,VIRTUAL_COM_RX,FLEXCOM0_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
31,PA6,,Available,In,,,,,,,
32,PA7,,Available,In,,,,,,,
33,PA16,,FLEXCOM3_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
34,PA17,,FLEXCOM3_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
35,PA18,,FLEXCOM3_IO2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
36,PA19,,FLEXCOM3_IO3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
37,PA12,,Available,In,,,,,,,
38,PA13,,Available,In,,,,,,,
39,PA14,,Available,In,,,,,,,
40,PA15,,Available,In,,,,,,,
42,PD1,,Available,In,,,,,,,
43,PD2,,Available,In,,,,,,,
44,PD12,,Available,In,,,,,,,
45,PD13,,Available,In,,,,,,,
46,PA20,,Available,In,,,,,,,
